	Mpolymorpha_320_v3.1.protein.primary	Niben101_annotation.proteins
OG0000020	Mapoly0009s0174.1.p, Mapoly0009s0178.1.p, Mapoly0009s0179.1.p, Mapoly0009s0180.1.p, Mapoly0041s0118.1.p, Mapoly0044s0115.1.p, Mapoly0070s0036.1.p, Mapoly0070s0060.1.p, Mapoly0070s0062.1.p, Mapoly0070s0063.1.p, Mapoly0070s0064.1.p, Mapoly0070s0067.1.p, Mapoly0070s0070.1.p, Mapoly0070s0072.1.p, Mapoly0072s0054.1.p, Mapoly0072s0061.1.p, Mapoly0072s0062.1.p	Niben101Scf00536g15017.1, Niben101Scf02893g00001.1
OG0000021	Mapoly0036s0017.1.p	Niben101Scf00231g01003.1, Niben101Scf00851g06009.1, Niben101Scf00851g06022.1, Niben101Scf01658g02012.1, Niben101Scf01918g03003.1, Niben101Scf04436g15043.1, Niben101Scf04436g15046.1, Niben101Scf04436g15048.1, Niben101Scf04558g01010.1, Niben101Scf04794g00018.1, Niben101Scf06004g00015.1, Niben101Scf06004g00023.1, Niben101Scf06909g00006.1, Niben101Scf07788g03008.1, Niben101Scf11124g01046.1, Niben101Scf13982g00001.1, Niben101Scf13982g00002.1, Niben101Scf35637g00001.1
OG0000022	Mapoly0030s0145.1.p	Niben101Ctg13813g00003.1, Niben101Scf00088g01018.1, Niben101Scf00340g07002.1, Niben101Scf00340g07006.1, Niben101Scf00705g02004.1, Niben101Scf00705g02009.1, Niben101Scf00705g03019.1, Niben101Scf02063g06007.1, Niben101Scf02063g08002.1, Niben101Scf04526g00011.1, Niben101Scf04526g00013.1, Niben101Scf06779g03003.1, Niben101Scf06779g03004.1, Niben101Scf06779g03028.1, Niben101Scf07321g00036.1, Niben101Scf07321g00041.1, Niben101Scf20364g00001.1
OG0000023	MapolyY_A0038.1.p	Niben101Ctg00228g00001.1, Niben101Scf00022g00003.1, Niben101Scf00854g04014.1, Niben101Scf00854g04026.1, Niben101Scf00854g06052.1, Niben101Scf00854g08026.1, Niben101Scf00854g08053.1, Niben101Scf00854g11092.1, Niben101Scf00854g11111.1, Niben101Scf02074g04009.1, Niben101Scf02074g06072.1, Niben101Scf02074g07072.1, Niben101Scf02648g02005.1, Niben101Scf02972g01003.1, Niben101Scf04001g00003.1, Niben101Scf04114g02037.1, Niben101Scf09696g01103.1
OG0000024	Mapoly0010s0210.1.p, Mapoly0010s0211.1.p, Mapoly0010s0212.1.p, Mapoly0117s0022.1.p, Mapoly0172s0017.1.p, Mapoly0172s0018.1.p, Mapoly0214s0009.1.p, Mapoly0214s0010.1.p	Niben101Scf00482g03005.1, Niben101Scf01154g17005.1, Niben101Scf01579g00002.1, Niben101Scf02441g01009.1, Niben101Scf03088g01003.1, Niben101Scf05579g00001.1, Niben101Scf06238g01004.1, Niben101Scf06590g03003.1, Niben101Scf07275g00004.1, Niben101Scf07650g02006.1
OG0000025		Niben101Ctg15720g00002.1, Niben101Scf00046g04021.1, Niben101Scf00715g00003.1, Niben101Scf00715g00004.1, Niben101Scf01832g00003.1, Niben101Scf01832g00018.1, Niben101Scf02778g00002.1, Niben101Scf03541g00016.1, Niben101Scf03541g00018.1, Niben101Scf04639g15003.1, Niben101Scf04993g06006.1, Niben101Scf05230g02002.1, Niben101Scf05615g03002.1, Niben101Scf07778g03007.1, Niben101Scf07778g03021.1, Niben101Scf10364g00003.1, Niben101Scf14662g01002.1, Niben101Scf18306g00005.1
OG0000026	Mapoly0009s0002.1.p, Mapoly0009s0003.1.p, Mapoly0009s0004.1.p, Mapoly0026s0146.1.p, Mapoly0026s0149.1.p, Mapoly0042s0077.1.p, Mapoly0042s0094.1.p, Mapoly0042s0095.1.p, Mapoly0042s0097.1.p, Mapoly0050s0050.1.p, Mapoly0208s0003.1.p, Mapoly0557s0001.1.p, Mapoly1717s0001.1.p	Niben101Scf01634g04001.1, Niben101Scf01934g02004.1, Niben101Scf03651g00004.1, Niben101Scf14799g01012.1
OG0000027	Mapoly0024s0044.1.p, Mapoly0082s0058.1.p, Mapoly0193s0003.1.p, Mapoly0193s0005.1.p, Mapoly0193s0007.1.p, Mapoly0193s0008.1.p, Mapoly0193s0009.1.p, Mapoly0193s0010.1.p, Mapoly0193s0011.1.p, Mapoly0197s0001.1.p, Mapoly0197s0002.1.p, Mapoly1268s0001.1.p, Mapoly1685s0001.1.p, Mapoly2349s0001.1.p	Niben101Ctg13629g00003.1, Niben101Scf00538g03009.1, Niben101Scf03160g02006.1
OG0000028	Mapoly0001s0007.1.p, Mapoly0027s0109.1.p, Mapoly0028s0003.1.p, Mapoly0034s0129.1.p, Mapoly0046s0005.1.p, Mapoly0117s0051.1.p, Mapoly0124s0068.1.p, Mapoly0124s0069.1.p, Mapoly0147s0047.1.p, Mapoly0170s0021.1.p, Mapoly0174s0022.1.p, Mapoly0180s0026.1.p, Mapoly0180s0027.1.p, Mapoly0180s0030.1.p, Mapoly0246s0007.1.p, Mapoly0377s0001.1.p, Mapoly0377s0002.1.p	
OG0000029	Mapoly0009s0081.1.p, Mapoly0021s0004.1.p, Mapoly0097s0001.1.p, Mapoly0097s0003.1.p, Mapoly0097s0004.1.p, Mapoly0097s0005.1.p, Mapoly0097s0006.1.p, Mapoly0097s0007.1.p, Mapoly0097s0010.1.p, Mapoly0097s0011.1.p, Mapoly0590s0002.1.p, Mapoly0855s0001.1.p, Mapoly1736s0001.1.p, Mapoly2150s0001.1.p, Mapoly2589s0001.1.p, Mapoly2869s0001.1.p	Niben101Scf23606g00005.1
OG0000030	Mapoly0011s0018.1.p, Mapoly0016s0201.1.p, Mapoly0040s0079.1.p, Mapoly0086s0043.1.p	Niben101Scf00509g04010.1, Niben101Scf01411g01006.1, Niben101Scf05002g00007.1, Niben101Scf05002g01005.1, Niben101Scf05002g01007.1, Niben101Scf06420g01007.1, Niben101Scf06477g00001.1, Niben101Scf08535g04002.1, Niben101Scf08535g04003.1, Niben101Scf08535g04013.1, Niben101Scf09578g00002.1, Niben101Scf11616g00002.1, Niben101Scf14805g04016.1
OG0000031	Mapoly0007s0023.1.p, Mapoly0118s0046.1.p	Niben101Scf00069g14006.1, Niben101Scf00854g05039.1, Niben101Scf01628g00019.1, Niben101Scf01628g00040.1, Niben101Scf01768g04009.1, Niben101Scf02074g00060.1, Niben101Scf02160g06052.1, Niben101Scf02165g02002.1, Niben101Scf03070g08002.1, Niben101Scf03278g04007.1, Niben101Scf04412g00018.1, Niben101Scf04871g16002.1, Niben101Scf05605g00042.1, Niben101Scf10694g00005.1, Niben101Scf13290g00002.1
OG0000032	Mapoly0007s0161.1.p	Niben101Scf00111g01019.1, Niben101Scf00812g02008.1, Niben101Scf01851g03012.1, Niben101Scf02502g15003.1, Niben101Scf03321g01003.1, Niben101Scf03436g02006.1, Niben101Scf03734g04003.1, Niben101Scf04021g07007.1, Niben101Scf06236g03010.1, Niben101Scf07393g00023.1, Niben101Scf07844g00005.1, Niben101Scf08508g02011.1, Niben101Scf08701g00006.1, Niben101Scf10753g00003.1, Niben101Scf19932g00005.1, Niben101Scf22134g00004.1
OG0000033	Mapoly0024s0120.1.p	Niben101Ctg13716g00003.1, Niben101Scf00015g04025.1, Niben101Scf00307g04007.1, Niben101Scf00307g04015.1, Niben101Scf00749g00003.1, Niben101Scf00965g01005.1, Niben101Scf01341g03028.1, Niben101Scf01494g10004.1, Niben101Scf01811g01005.1, Niben101Scf02044g02014.1, Niben101Scf02413g00007.1, Niben101Scf10235g02001.1, Niben101Scf23282g01002.1, Niben101Scf24149g00002.1, Niben101Scf24149g00005.1, Niben101Scf39284g00001.1
OG0000034		Niben101Scf01328g01020.1, Niben101Scf01328g01021.1, Niben101Scf01517g08005.1, Niben101Scf01517g08006.1, Niben101Scf02090g02005.1, Niben101Scf02737g01003.1, Niben101Scf02737g02001.1, Niben101Scf02737g03002.1, Niben101Scf02737g03004.1, Niben101Scf02903g01004.1, Niben101Scf02903g01005.1, Niben101Scf03076g00002.1, Niben101Scf03076g00015.1, Niben101Scf03479g05044.1, Niben101Scf04028g03013.1, Niben101Scf06382g02015.1, Niben101Scf33559g00002.1
OG0000035	Mapoly0011s0071.1.p, Mapoly0114s0049.1.p, Mapoly0114s0051.1.p, Mapoly0114s0053.1.p, Mapoly0114s0055.1.p, Mapoly0114s0056.1.p, Mapoly0114s0057.1.p, Mapoly0119s0030.1.p, Mapoly0119s0031.1.p, Mapoly0132s0032.1.p, Mapoly0146s0013.1.p, Mapoly0146s0014.1.p, Mapoly0146s0015.1.p, Mapoly2802s0002.1.p	Niben101Scf01831g00001.1, Niben101Scf16221g01007.1
OG0000036	Mapoly0012s0202.1.p, Mapoly0028s0101.1.p, Mapoly0035s0146.1.p, Mapoly0114s0037.1.p	Niben101Scf01983g12001.1, Niben101Scf02420g07005.1, Niben101Scf02420g08014.1, Niben101Scf02955g01007.1, Niben101Scf02955g02004.1, Niben101Scf06850g00011.1, Niben101Scf08573g00005.1, Niben101Scf08573g01001.1, Niben101Scf10974g01004.1, Niben101Scf11805g02005.1, Niben101Scf16585g02001.1, Niben101Scf19439g00001.1
OG0000037	Mapoly0132s0008.1.p, Mapoly0174s0007.1.p	Niben101Scf00332g09011.1, Niben101Scf00650g06001.1, Niben101Scf00650g06008.1, Niben101Scf01078g00028.1, Niben101Scf02145g02001.1, Niben101Scf02375g06001.1, Niben101Scf02823g04001.1, Niben101Scf03362g01010.1, Niben101Scf03362g01014.1, Niben101Scf03445g01009.1, Niben101Scf09454g00008.1, Niben101Scf11480g01006.1, Niben101Scf13622g00002.1, Niben101Scf15373g00012.1
OG0000038	Mapoly0006s0115.1.p	Niben101Ctg14375g00002.1, Niben101Scf00576g01002.1, Niben101Scf00914g04003.1, Niben101Scf01150g02002.1, Niben101Scf01237g10010.1, Niben101Scf01481g01006.1, Niben101Scf02902g00006.1, Niben101Scf03284g05006.1, Niben101Scf03645g04011.1, Niben101Scf03645g04014.1, Niben101Scf06407g00014.1, Niben101Scf07152g04003.1, Niben101Scf08272g00008.1, Niben101Scf08516g02004.1, Niben101Scf08516g03003.1
OG0000039	Mapoly0070s0097.1.p, Mapoly0070s0100.1.p, Mapoly0131s0033.1.p, Mapoly0171s0007.1.p, Mapoly0192s0002.1.p	Niben101Scf00056g02008.1, Niben101Scf01064g01002.1, Niben101Scf03156g04007.1, Niben101Scf04060g01004.1, Niben101Scf04436g02002.1, Niben101Scf04440g00001.1, Niben101Scf05469g02013.1, Niben101Scf06311g01016.1, Niben101Scf07894g00006.1, Niben101Scf08758g00011.1, Niben101Scf11446g00005.1
OG0000040	Mapoly0024s0047.1.p, Mapoly0341s0001.1.p, Mapoly0486s0001.1.p	Niben101Scf00679g04001.1, Niben101Scf01037g02005.1, Niben101Scf01037g02006.1, Niben101Scf02968g02018.1, Niben101Scf02968g06008.1, Niben101Scf04220g04002.1, Niben101Scf04220g04011.1, Niben101Scf04220g05014.1, Niben101Scf06602g00001.1, Niben101Scf07388g00016.1, Niben101Scf07388g00018.1, Niben101Scf20924g01011.1, Niben101Scf32927g00004.1
OG0000041	Mapoly0029s0131.1.p	Niben101Scf00837g12026.1, Niben101Scf00854g04021.1, Niben101Scf00854g07032.1, Niben101Scf00854g08064.1, Niben101Scf00854g11104.1, Niben101Scf00854g11110.1, Niben101Scf02074g02062.1, Niben101Scf02929g03013.1, Niben101Scf02929g06002.1, Niben101Scf03437g02035.1, Niben101Scf04114g02040.1, Niben101Scf04451g00025.1, Niben101Scf05776g01063.1, Niben101Scf09696g01113.1, Niben101Scf09696g01119.1
OG0000042		Niben101Scf00175g01002.1, Niben101Scf00175g02009.1, Niben101Scf00175g02014.1, Niben101Scf00175g02019.1, Niben101Scf00270g15011.1, Niben101Scf01559g01014.1, Niben101Scf02437g02019.1, Niben101Scf02807g01001.1, Niben101Scf02807g02003.1, Niben101Scf02807g03003.1, Niben101Scf02807g03005.1, Niben101Scf02807g03013.1, Niben101Scf03607g01008.1, Niben101Scf04940g01021.1, Niben101Scf28267g00010.1, Niben101Scf28267g00014.1
OG0000043		Niben101Scf00290g01017.1, Niben101Scf01017g05003.1, Niben101Scf01855g02015.1, Niben101Scf02553g02001.1, Niben101Scf02601g07015.1, Niben101Scf02688g01006.1, Niben101Scf03455g06003.1, Niben101Scf03455g07004.1, Niben101Scf05177g03021.1, Niben101Scf05566g02009.1, Niben101Scf05881g01009.1, Niben101Scf06382g01004.1, Niben101Scf06976g08005.1, Niben101Scf07728g02006.1, Niben101Scf10767g03011.1, Niben101Scf13231g01003.1
